t1,d1,s1,s2,s3,s4,s5,s6,s7,b1,b2,n1,n2,n3
381,2020/8/14,04,08,25,26,27,31,32,09,22,1,3億8106万円,0円
380,2020/8/7,08,14,24,25,32,34,36,13,16,2,9億2347万円,0円
379,2020/7/31,03,08,15,22,24,29,35,18,26,0,該当なし,13億円
378,2020/7/24,01,05,09,10,14,15,29,20,28,0,該当なし,8億円
377,2020/7/17,06,07,10,17,25,33,36,27,32,0,該当なし,4億円
376,2020/7/10,06,11,14,17,23,31,37,10,15,3,4億1235万円,0円
375,2020/7/3,13,15,18,19,23,27,32,34,35,1,10億円！,7億円
374,2020/6/26,04,05,09,10,18,27,35,15,34,1,10億円！,12億円
373,2020/6/19,02,03,17,18,22,23,31,04,30,0,該当なし,16億円
372,2020/6/12,06,08,22,23,32,33,36,09,27,1,10億円！,11億円
371,2020/6/5,01,03,04,08,11,21,25,12,23,2,10億円！,15億円
370,2020/5/29,07,10,16,25,26,33,34,24,35,0,該当なし,29億円
369,2020/5/22,01,07,09,11,15,31,34,06,33,0,該当なし,22億円
368,2020/5/15,07,08,09,13,21,34,35,03,20,0,該当なし,18億円
367,2020/5/8,08,14,19,20,29,30,31,07,35,0,該当なし,13億円
366,2020/5/1,10,24,25,26,27,33,36,04,23,0,該当なし,10億円
365,2020/4/24,01,04,13,14,16,22,35,10,23,0,該当なし,7億円
364,2020/4/17,03,09,10,14,16,20,27,19,33,0,該当なし,3億円
363,2020/4/10,13,15,17,22,26,34,36,03,19,1,3億5073万円,0円
362,2020/4/3,04,07,08,14,22,24,27,13,26,1,6億1613万円,0円
361,2020/3/27,05,09,16,20,29,33,35,02,08,1,10億円！,2億円
360,2020/3/20,09,11,13,14,20,22,37,15,17,0,該当なし,7億円
359,2020/3/13,04,07,11,17,19,26,35,01,24,1,10億円！,3億円
358,2020/3/6,05,13,14,26,32,33,34,08,11,0,該当なし,8億円
357,2020/2/28,05,08,12,13,14,24,30,27,35,0,該当なし,4億円
356,2020/2/21,04,16,20,30,33,34,36,19,21,1,3億5957万円,0円
355,2020/2/14,04,06,09,10,23,27,33,14,31,1,7億9870万円,0円
354,2020/2/7,01,02,08,10,13,25,31,23,35,0,該当なし,4億円
353,2020/1/31,11,15,22,23,24,29,33,19,34,1,3億8696万円,0円
352,2020/1/24,03,04,14,18,26,30,32,28,34,2,8億8694万円,0円
351,2020/1/17,08,13,17,19,23,25,28,05,16,1,10億円！,12億円
350,2020/1/10,10,19,21,23,24,30,37,02,28,0,該当なし,17億円
349,2019/12/27,04,10,11,15,18,22,34,16,32,2,10億円！,11億円
348,2019/12/20,02,05,17,18,19,20,33,01,24,0,該当なし,25億円
347,2019/12/13,03,06,11,13,18,20,34,25,35,0,該当なし,19億円
346,2019/12/6,11,16,18,23,30,31,35,03,27,1,10億円！,14億円
345,2019/11/29,06,09,10,18,28,31,32,24,35,1,10億円！,19億円
344,2019/11/22,11,19,28,29,31,32,37,12,21,0,該当なし,23億円
343,2019/11/15,17,19,22,29,30,31,32,11,16,0,該当なし,18億円
342,2019/11/8,03,06,24,28,32,35,36,04,08,0,該当なし,13億円
341,2019/11/1,04,11,17,27,29,31,36,19,24,1,10億円！,8億円
340,2019/10/25,06,14,17,26,27,30,36,12,28,1,10億円！,13億円
339,2019/10/18,11,15,18,20,23,25,32,09,37,1,10億円！,17億円
338,2019/10/11,07,09,16,17,23,27,34,15,36,1,10億円！,22億円
337,2019/10/4,05,07,10,12,14,24,35,11,33,1,10億円！,26億円
336,2019/9/27,09,10,13,21,25,31,33,24,37,0,該当なし,29億円
335,2019/9/20,09,10,17,18,22,25,35,13,14,0,該当なし,23億円
334,2019/9/13,03,07,15,16,30,34,35,08,29,0,該当なし,17億円
333,2019/9/6,01,04,10,11,16,24,34,30,32,0,該当なし,12億円
332,2019/8/30,05,07,10,15,24,27,30,03,33,0,該当なし,7億円
331,2019/8/23,05,07,11,12,15,18,20,19,30,0,該当なし,3億円
330,2019/8/16,03,04,10,12,17,18,20,19,32,1,6億7489万円,0円
329,2019/8/9,03,10,19,20,26,28,30,15,25,0,該当なし,3億円
328,2019/8/2,03,09,10,14,19,24,30,18,21,1,3億1947万円,0円
327,2019/7/26,01,03,13,14,16,30,31,02,17,1,3億2593万円,0円
326,2019/7/19,01,02,17,18,24,27,29,12,32,2,5億8430万円,0円
325,2019/7/12,04,14,17,18,21,31,33,06,20,0,該当なし,7億円
324,2019/7/5,09,13,16,17,18,19,20,30,36,0,該当なし,3億円
323,2019/6/28,11,14,15,21,26,34,36,23,27,1,3億5542万円,0円
322,2019/6/21,01,10,11,21,26,29,30,14,20,2,3億8940万円,0円
321,2019/6/14,15,24,27,28,29,34,35,09,25,0,該当なし,4億円
320,2019/6/7,05,06,18,22,26,33,34,36,37,1,3億3315万円,0円
319,2019/5/31,02,06,14,23,28,31,35,19,27,1,3億4880万円,0円
318,2019/5/24,04,05,10,12,27,34,36,03,14,2,3億7660万円,0円
317,2019/5/17,07,08,14,15,16,20,29,18,19,0,該当なし,3億円
316,2019/5/10,03,09,10,17,30,33,34,06,08,1,3億4869万円,0円
315,2019/5/3,03,11,18,26,30,33,37,28,31,3,4億1382万円,0円
314,2019/4/26,03,06,08,19,32,34,35,12,30,0,該当なし,8億円
313,2019/4/19,09,13,16,23,28,29,30,01,20,0,該当なし,4億円
312,2019/4/12,01,02,04,18,20,29,34,17,30,1,7億9363万円,0円
311,2019/4/5,09,11,18,24,26,27,37,30,33,0,該当なし,4億円
310,2019/3/29,17,25,26,28,31,32,37,06,09,3,9億3358万円,0円
309,2019/3/22,01,07,13,14,16,21,22,18,34,0,該当なし,22億円
308,2019/3/15,05,06,11,15,20,32,33,13,25,0,該当なし,17億円
307,2019/3/8,05,08,15,24,25,32,35,20,26,3,10億円！,12億円
306,2019/3/1,12,13,15,22,25,33,35,01,31,0,該当なし,35億円
305,2019/2/22,06,17,23,24,27,28,31,10,18,1,10億円！,29億円
304,2019/2/15,07,09,10,17,28,33,36,18,23,0,該当なし,33億円
303,2019/2/8,04,07,14,17,21,34,37,10,30,0,該当なし,27億円
302,2019/2/1,08,16,26,27,28,32,34,04,25,0,該当なし,22億円
301,2019/1/25,04,11,12,25,27,30,33,05,19,0,該当なし,16億円
300,2019/1/18,04,07,21,31,33,34,35,06,12,1,10億円！,11億円
299,2019/1/11,01,06,10,13,16,26,36,28,30,0,該当なし,16億円
298,2019/1/4,01,03,08,11,18,19,22,26,30,0,該当なし,11億円
297,2018/12/28,02,03,11,16,23,28,36,08,24,0,該当なし,7億円
296,2018/12/21,01,08,10,12,18,28,29,25,27,1,10億円！,3億円
295,2018/12/14,04,05,06,08,09,22,32,13,26,0,該当なし,8億円
294,2018/12/7,03,04,06,10,14,22,29,28,32,0,該当なし,4億円
293,2018/11/30,11,13,15,20,27,29,35,01,07,3,8億4789万円,0円
292,2018/11/23,12,15,25,26,27,29,35,24,30,0,該当なし,20億円
291,2018/11/16,01,11,18,19,21,29,37,05,15,1,10億円！,15億円
290,2018/11/9,03,13,22,26,31,32,37,29,35,0,該当なし,20億円
289,2018/11/2,02,07,10,12,16,17,34,23,25,1,10億円！,14億円
288,2018/10/26,01,08,09,16,27,32,37,17,31,2,10億円！,19億円
287,2018/10/19,02,07,10,20,24,29,34,04,08,0,該当なし,32億円
286,2018/10/12,04,05,14,17,18,29,37,27,31,0,該当なし,26億円
285,2018/10/5,11,15,21,26,30,34,35,04,36,0,該当なし,20億円
284,2018/9/28,06,07,10,25,29,30,33,01,31,0,該当なし,15億円
283,2018/9/21,13,14,15,17,23,29,31,10,19,0,該当なし,11億円
282,2018/9/14,10,17,18,25,29,35,36,07,14,1,10億円！,7億円
281,2018/9/7,01,02,17,19,20,22,26,30,36,1,10億円！,12億円
280,2018/8/31,04,09,10,11,24,32,35,02,37,0,該当なし,17億円
279,2018/8/24,07,11,15,17,19,23,31,09,37,0,該当なし,12億円
278,2018/8/17,06,09,14,21,23,33,36,27,28,0,該当なし,8億円
277,2018/8/10,06,07,09,11,21,23,25,01,22,0,該当なし,4億円
276,2018/8/3,03,06,12,17,22,34,35,02,33,1,10億円！,7千万円
275,2018/7/27,08,09,15,19,24,25,35,34,37,0,該当なし,7億円
274,2018/7/20,09,14,21,23,25,26,37,07,29,0,該当なし,3億円
273,2018/7/13,13,15,21,23,26,32,34,05,09,2,1億6391万円,0円
272,2018/7/6,02,05,08,15,18,26,31,19,25,2,5億6598万円,0円
271,2018/6/29,01,09,15,16,19,32,35,14,31,0,該当なし,7億円
270,2018/6/22,01,02,11,13,15,24,25,26,28,0,該当なし,3億円
269,2018/6/15,01,09,15,24,31,33,36,02,26,1,5億4154万円,0円
268,2018/6/8,04,05,09,15,29,31,33,26,27,1,10億円！,2億円
267,2018/6/1,08,13,18,20,23,25,26,06,28,0,該当なし,7億円
266,2018/5/25,06,11,15,17,20,27,32,16,22,0,該当なし,3億円
265,2018/5/18,12,13,15,19,21,24,36,10,37,2,9億7327万円！,0円
264,2018/5/11,08,13,15,17,21,26,29,04,24,0,該当なし,14億円
263,2018/5/4,01,05,11,16,27,35,36,06,14,0,該当なし,10億円
262,2018/4/27,02,06,07,09,19,23,36,05,15,0,該当なし,6億円
