+------+------------+---------+----+----+----+----+----+----+----+----+----+
|  t1  |     d1     |   z1    | s1 | s2 | s3 | s4 | s5 | s6 | "" | z2 | b1 |
+------+------------+---------+----+----+----+----+----+----+----+----+----+
| 43   | 2001/7/26  | 6416    | 1  | 2  | 3  | 15 | 24 | 26 |    | B  | 27 |
| 1574 | 2021/4/5   | 8032    | 1  | 2  | 3  | 20 | 31 | 32 |    | E  | 13 |
| 423  | 2008/12/4  | 9559    | 1  | 2  | 3  | 30 | 35 | 36 |    | J  | 21 |
| 414  | 2008/10/2  | 10004   | 1  | 2  | 4  | 5  | 9  | 25 |    | B  | 15 |
| 769  | 2013/6/13  | 15764   | 1  | 2  | 4  | 16 | 17 | 38 |    | J  | 8  |
| 406  | 2008/8/7   | 16067   | 1  | 2  | 4  | 16 | 36 | 37 |    | B  | 40 |
| 305  | 2006/8/24  | 26240   | 1  | 2  | 5  | 23 | 31 | 34 |    | J  | 43 |
| 1571 | 2021/3/25  | 26634   | 1  | 2  | 5  | 25 | 40 | 41 |    | F  | 26 |
| 1230 | 2017/11/27 | 28911   | 1  | 2  | 6  | 9  | 17 | 38 |    | J  | 34 |
| 815  | 2013/11/21 | 34101   | 1  | 2  | 6  | 24 | 25 | 41 |    | H  | 29 |
| 1193 | 2017/7/20  | 35291   | 1  | 2  | 7  | 8  | 10 | 42 |    | G  | 28 |
| 1334 | 2018/11/29 | 38620   | 1  | 2  | 7  | 14 | 29 | 43 |    | I  | 40 |
| 1602 | 2021/7/12  | 38655   | 1  | 2  | 7  | 14 | 32 | 42 |    | D  | 33 |
| 181  | 2004/4/8   | 40721   | 1  | 2  | 7  | 21 | 29 | 30 |    | H  | 23 |
| 1297 | 2018/7/23  | 41964   | 1  | 2  | 7  | 29 | 34 | 42 |    | A  | 41 |
| 599  | 2011/10/17 | 44726   | 1  | 2  | 8  | 13 | 27 | 39 |    | F  | 36 |
| 1161 | 2017/3/30  | 66601   | 1  | 2  | 12 | 16 | 19 | 40 |    | I  | 18 |
| 164  | 2003/12/4  | 70178   | 1  | 2  | 13 | 14 | 35 | 38 |    | G  | 32 |
| 1505 | 2020/8/3   | 74003   | 1  | 2  | 14 | 15 | 21 | 34 |    | B  | 19 |
| 1420 | 2019/10/3  | 74369   | 1  | 2  | 14 | 16 | 22 | 28 |    | E  | 4  |
| 1348 | 2019/1/24  | 75254   | 1  | 2  | 14 | 19 | 21 | 33 |    | H  | 43 |
| 315  | 2006/11/2  | 85346   | 1  | 2  | 17 | 24 | 40 | 41 |    | J  | 31 |
| 1379 | 2019/5/13  | 88927   | 1  | 2  | 19 | 21 | 24 | 37 |    | A  | 32 |
| 534  | 2011/2/3   | 89172   | 1  | 2  | 19 | 22 | 26 | 37 |    | F  | 43 |
| 1599 | 2021/7/1   | 91052   | 1  | 2  | 20 | 22 | 35 | 38 |    | G  | 4  |
| 775  | 2013/7/4   | 92605   | 1  | 2  | 21 | 22 | 37 | 38 |    | E  | 17 |
| 849  | 2014/3/24  | 104572  | 1  | 3  | 4  | 10 | 15 | 40 |    | C  | 34 |
| 1073 | 2016/5/23  | 112043  | 1  | 3  | 5  | 8  | 20 | 39 |    | J  | 30 |
| 839  | 2014/2/17  | 113910  | 1  | 3  | 5  | 12 | 13 | 38 |    | A  | 37 |
| 798  | 2013/9/23  | 118021  | 1  | 3  | 5  | 25 | 39 | 41 |    | E  | 34 |
| 903  | 2014/9/29  | 119100  | 1  | 3  | 6  | 7  | 16 | 19 |    | E  | 12 |
| 857  | 2014/4/21  | 123909  | 1  | 3  | 6  | 17 | 28 | 42 |    | G  | 24 |
| 1415 | 2019/9/16  | 133662  | 1  | 3  | 7  | 34 | 39 | 40 |    | F  | 33 |
| 1168 | 2017/4/24  | 136614  | 1  | 3  | 8  | 14 | 35 | 39 |    | H  | 18 |
| 1471 | 2020/4/6   | 140120  | 1  | 3  | 8  | 32 | 37 | 43 |    | G  | 24 |
| 285  | 2006/4/6   | 142265  | 1  | 3  | 9  | 14 | 16 | 29 |    | H  | 37 |
| 1628 | 2021/10/11 | 147108  | 1  | 3  | 10 | 12 | 26 | 42 |    | E  | 13 |
| 866  | 2014/5/22  | 150109  | 1  | 3  | 10 | 21 | 29 | 43 |    | I  | 39 |
| 1403 | 2019/8/5   | 151142  | 1  | 3  | 10 | 27 | 34 | 41 |    | I  | 22 |
| 237  | 2005/5/5   | 152514  | 1  | 3  | 11 | 13 | 27 | 37 |    | E  | 30 |
| 1457 | 2020/2/17  | 153841  | 1  | 3  | 11 | 17 | 20 | 37 |    | G  | 29 |
| 1236 | 2017/12/18 | 156006  | 1  | 3  | 11 | 26 | 38 | 39 |    | H  | 34 |
| 1037 | 2016/1/18  | 156893  | 1  | 3  | 12 | 13 | 21 | 32 |    | C  | 41 |
| 936  | 2015/1/26  | 158009  | 1  | 3  | 12 | 16 | 20 | 35 |    | B  | 5  |
| 998  | 2015/8/31  | 159021  | 1  | 3  | 12 | 19 | 26 | 29 |    | G  | 28 |
| 1190 | 2017/7/10  | 164877  | 1  | 3  | 13 | 29 | 38 | 39 |    | H  | 8  |
| 996  | 2015/8/24  | 168108  | 1  | 3  | 14 | 26 | 27 | 42 |    | A  | 25 |
| 1650 | 2021/12/27 | 172059  | 1  | 3  | 15 | 33 | 39 | 43 |    | H  | 30 |
| 206  | 2004/9/30  | 173779  | 1  | 3  | 16 | 22 | 41 | 43 |    | C  | 13 |
| 249  | 2005/7/28  | 176517  | 1  | 3  | 17 | 23 | 33 | 35 |    | D  | 18 |
| 10   | 2000/12/7  | 180462  | 1  | 3  | 19 | 21 | 35 | 39 |    | J  | 26 |
| 1380 | 2019/5/16  | 188003  | 1  | 3  | 24 | 26 | 29 | 33 |    | I  | 42 |
| 1374 | 2019/4/25  | 198874  | 1  | 4  | 5  | 19 | 23 | 35 |    | G  | 36 |
| 67   | 2002/1/17  | 203588  | 1  | 4  | 6  | 11 | 18 | 25 |    | B  | 3  |
| 890  | 2014/8/14  | 205095  | 1  | 4  | 6  | 14 | 28 | 31 |    | G  | 21 |
| 231  | 2005/3/24  | 205641  | 1  | 4  | 6  | 16 | 18 | 43 |    | C  | 41 |
| 1616 | 2021/8/30  | 207288  | 1  | 4  | 6  | 21 | 34 | 41 |    | I  | 12 |
| 956  | 2015/4/6   | 207360  | 1  | 4  | 6  | 22 | 24 | 38 |    | H  | 34 |
| 1237 | 2017/12/21 | 208797  | 1  | 4  | 6  | 35 | 38 | 40 |    | B  | 27 |
| 670  | 2012/6/25  | 215133  | 1  | 4  | 7  | 25 | 32 | 41 |    | G  | 18 |
| 1106 | 2016/9/15  | 216785  | 1  | 4  | 8  | 10 | 18 | 33 |    | B  | 15 |
| 1625 | 2021/9/30  | 217512  | 1  | 4  | 8  | 11 | 30 | 42 |    | C  | 9  |
| 1342 | 2018/12/27 | 225408  | 1  | 4  | 9  | 16 | 23 | 31 |    | F  | 42 |
