+-------+------+------------+----+----+----+----+----+----+----+-----+
| rowid |  t1  |     d1     | s1 | s2 | s3 | s4 | s5 | s6 | b1 | WIN |
+-------+------+------------+----+----+----+----+----+----+----+-----+
| 1     | 1654 | 2022/01/13 | 9  | 10 | 14 | 21 | 22 | 33 | 26 | G   |
| 2     | 1654 | 2022/01/13 | 15 | 19 | 20 | 24 | 26 | 39 |    |     |
| 3     | 1654 | 2022/01/13 | 1  | 5  | 13 | 38 | 39 | 41 |    |     |
| 4     | 1654 | 2022/01/13 | 3  | 7  | 26 | 31 | 34 | 35 |    |     |
| 5     | 1654 | 2022/01/13 | 3  | 4  | 10 | 18 | 34 | 42 |    |     |
| 6     | 1654 | 2022/01/13 | 1  | 9  | 17 | 18 | 29 | 41 |    |     |
| 7     | 1654 | 2022/01/13 | 3  | 13 | 20 | 24 | 36 | 42 |    |     |
| 8     | 1654 | 2022/01/13 | 6  | 11 | 21 | 26 | 31 | 37 |    |     |
| 9     | 1654 | 2022/01/13 | 7  | 19 | 28 | 30 | 34 | 35 |    |     |
| 10    | 1654 | 2022/01/13 | 8  | 10 | 14 | 16 | 22 | 38 |    | 5   |
| 11    | 1654 | 2022/01/13 | 2  | 12 | 15 | 27 | 32 | 39 |    |     |
| 12    | 1653 | 2022/01/10 | 2  | 7  | 10 | 12 | 29 | 36 | 6  | D   |
| 13    | 1653 | 2022/01/10 | 19 | 24 | 27 | 28 | 29 | 40 |    |     |
| 14    | 1653 | 2022/01/10 | 10 | 13 | 29 | 30 | 32 | 43 |    |     |
| 15    | 1653 | 2022/01/10 | 1  | 8  | 23 | 25 | 34 | 38 |    |     |
| 16    | 1653 | 2022/01/10 | 3  | 15 | 17 | 31 | 33 | 41 |    |     |
| 17    | 1653 | 2022/01/10 | 5  | 14 | 18 | 20 | 30 | 40 |    |     |
| 18    | 1652 | 2022/01/06 | 8  | 15 | 16 | 23 | 38 | 43 | 2  | B   |
| 19    | 1652 | 2022/01/06 | 5  | 11 | 23 | 26 | 29 | 36 |    |     |
| 20    | 1652 | 2022/01/06 | 8  | 11 | 27 | 36 | 42 | 43 |    |     |
| 21    | 1652 | 2022/01/06 | 4  | 8  | 18 | 26 | 27 | 32 |    |     |
| 22    | 1652 | 2022/01/06 | 3  | 11 | 15 | 16 | 19 | 29 |    |     |
| 23    | 1652 | 2022/01/06 | 1  | 22 | 28 | 31 | 34 | 38 |    |     |
| 24    | 1651 | 2021/12/30 | 7  | 12 | 15 | 21 | 27 | 32 | 28 | C   |
| 25    | 1651 | 2021/12/30 | 1  | 16 | 18 | 27 | 33 | 39 |    |     |
| 26    | 1651 | 2021/12/30 | 7  | 11 | 12 | 13 | 29 | 41 |    |     |
| 27    | 1651 | 2021/12/30 | 8  | 9  | 26 | 30 | 34 | 36 |    |     |
| 28    | 1651 | 2021/12/30 | 3  | 14 | 24 | 27 | 34 | 42 |    |     |
| 29    | 1651 | 2021/12/30 | 6  | 11 | 12 | 19 | 29 | 39 |    |     |
| 30    | 1651 | 2021/12/30 | 5  | 13 | 15 | 19 | 32 | 35 |    |     |
| 31    | 1651 | 2021/12/30 | 7  | 17 | 21 | 25 | 41 | 43 |    |     |
| 32    | 1651 | 2021/12/30 | 16 | 18 | 20 | 22 | 23 | 37 |    |     |
