+-----+------------+----------+----+----+----+----+----+----+----+----+----+----+----+
| t1  |     d1     |    z1    | s1 | s2 | s3 | s4 | s5 | s6 | s7 | "" | z2 | b1 | b2 |
+-----+------------+----------+----+----+----+----+----+----+----+----+----+----+----+
| 10  | 2013/6/7   | 14582    | 1  | 2  | 3  | 6  | 24 | 28 | 30 |    | D  | 16 | 20 |
| 185 | 2016/11/4  | 81115    | 1  | 2  | 4  | 16 | 26 | 29 | 34 |    | C  | 11 | 12 |
| 312 | 2019/4/12  | 82709    | 1  | 2  | 4  | 18 | 20 | 29 | 34 |    | J  | 17 | 30 |
| 406 | 2021/2/12  | 116174   | 1  | 2  | 5  | 16 | 18 | 21 | 29 |    | H  | 24 | 25 |
| 395 | 2020/11/20 | 120678   | 1  | 2  | 5  | 20 | 26 | 29 | 32 |    | H  | 8  | 9  |
| 426 | 2021/7/2   | 130916   | 1  | 2  | 6  | 8  | 30 | 31 | 33 |    | C  | 13 | 35 |
| 163 | 2016/6/3   | 148625   | 1  | 2  | 6  | 16 | 28 | 30 | 31 |    | F  | 3  | 7  |
| 171 | 2016/7/29  | 152483   | 1  | 2  | 6  | 21 | 23 | 27 | 28 |    | B  | 11 | 16 |
| 354 | 2020/2/7   | 186231   | 1  | 2  | 8  | 10 | 13 | 25 | 31 |    | J  | 23 | 35 |
| 160 | 2016/5/13  | 205152   | 1  | 2  | 8  | 24 | 32 | 36 | 37 |    | F  | 23 | 33 |
| 221 | 2017/7/14  | 210239   | 1  | 2  | 9  | 11 | 17 | 30 | 35 |    | D  | 13 | 36 |
| 45  | 2014/2/14  | 221867   | 1  | 2  | 9  | 18 | 21 | 27 | 33 |    | A  | 25 | 31 |
| 270 | 2018/6/22  | 246596   | 1  | 2  | 11 | 13 | 15 | 24 | 25 |    | J  | 26 | 28 |
| 100 | 2015/3/13  | 252645   | 1  | 2  | 11 | 16 | 25 | 35 | 36 |    | J  | 9  | 14 |
| 124 | 2015/8/28  | 292378   | 1  | 2  | 15 | 17 | 18 | 22 | 36 |    | F  | 6  | 27 |
| 326 | 2019/7/19  | 304913   | 1  | 2  | 17 | 18 | 24 | 27 | 29 |    | G  | 12 | 32 |
| 281 | 2018/9/7   | 305272   | 1  | 2  | 17 | 19 | 20 | 22 | 26 |    | J  | 30 | 36 |
| 410 | 2021/3/12  | 310991   | 1  | 2  | 18 | 21 | 26 | 29 | 37 |    | D  | 9  | 36 |
| 5   | 2013/5/3   | 328133   | 1  | 3  | 4  | 5  | 16 | 21 | 28 |    | I  | 22 | 31 |
| 371 | 2020/6/5   | 339069   | 1  | 3  | 4  | 8  | 11 | 21 | 25 |    | H  | 12 | 23 |
| 167 | 2016/7/1   | 371126   | 1  | 3  | 5  | 7  | 10 | 26 | 36 |    | E  | 19 | 37 |
| 7   | 2013/5/17  | 373955   | 1  | 3  | 5  | 7  | 27 | 29 | 33 |    | H  | 6  | 15 |
| 123 | 2015/8/21  | 377701   | 1  | 3  | 5  | 8  | 29 | 34 | 36 |    | E  | 23 | 28 |
| 54  | 2014/4/18  | 382874   | 1  | 3  | 5  | 10 | 18 | 22 | 23 |    | I  | 7  | 35 |
| 439 | 2021/10/1  | 412303   | 1  | 3  | 6  | 9  | 26 | 29 | 31 |    | C  | 14 | 18 |
| 298 | 2019/1/4   | 468046   | 1  | 3  | 8  | 11 | 18 | 19 | 22 |    | E  | 26 | 30 |
| 143 | 2016/1/15  | 475162   | 1  | 3  | 8  | 14 | 28 | 29 | 33 |    | D  | 4  | 31 |
| 81  | 2014/10/24 | 518181   | 1  | 3  | 10 | 18 | 28 | 31 | 35 |    | D  | 9  | 21 |
| 258 | 2018/3/30  | 534352   | 1  | 3  | 11 | 20 | 23 | 32 | 35 |    | B  | 25 | 26 |
| 89  | 2014/12/19 | 536690   | 1  | 3  | 11 | 26 | 28 | 34 | 36 |    | F  | 17 | 20 |
