+-----+------------+----+----+----+----+----+----+----+----+----+----+----------+
| t1  |     d1     | s1 | s2 | s3 | s4 | s5 | s6 | s7 | b1 | b2 | Z1 |    Z2    |
+-----+------------+----+----+----+----+----+----+----+----+----+----+----------+
| 458 | 2022/02/18 | 2  | 5  | 15 | 16 | 24 | 29 | 31 |    |    |    | 263212   |
| 458 | 2022/02/18 | 1  | 5  | 16 | 17 | 21 | 22 | 30 |    |    |    | 1015734  |
| 458 | 2022/02/18 | 1  | 7  | 15 | 17 | 20 | 26 | 29 |    |    |    | 1322095  |
| 458 | 2022/02/18 | 2  | 13 | 16 | 25 | 30 | 31 | 33 |    |    |    | 3415458  |
| 458 | 2022/02/18 | 2  | 16 | 18 | 25 | 30 | 35 | 37 |    |    |    | 3504529  |
| 458 | 2022/02/18 | 4  | 9  | 14 | 18 | 19 | 31 | 32 |    |    |    | 5608323  |
| 458 | 2022/02/18 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 458 | 2022/02/18 | 5  | 9  | 15 | 20 | 24 | 25 | 36 |    |    |    | 6523809  |
| 458 | 2022/02/18 | 5  | 11 | 17 | 19 | 27 | 31 | 37 |    |    |    | 6680687  |
| 458 | 2022/02/18 | 7  | 11 | 12 | 14 | 19 | 21 | 33 | 6  | 37 | J  | 7966517  |
| 458 | 2022/02/18 | 7  | 20 | 22 | 24 | 28 | 33 | 36 |    |    |    | 8243487  |
| 458 | 2022/02/18 | 9  | 16 | 22 | 24 | 25 | 31 | 33 |    |    |    | 9053211  |
| 458 | 2022/02/18 | 11 | 13 | 22 | 25 | 29 | 31 | 33 |    |    |    | 9499503  |
| 457 | 2022/02/11 | 1  | 2  | 13 | 14 | 24 | 32 | 34 |    |    |    | 272974   |
| 457 | 2022/02/11 | 3  | 6  | 21 | 22 | 23 | 36 | 37 |    |    |    | 4173478  |
| 457 | 2022/02/11 | 4  | 10 | 11 | 18 | 26 | 28 | 35 |    |    |    | 5657555  |
| 457 | 2022/02/11 | 5  | 8  | 12 | 19 | 20 | 30 | 33 |    |    |    | 6397701  |
| 457 | 2022/02/11 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 457 | 2022/02/11 | 5  | 9  | 16 | 21 | 24 | 32 | 35 |    |    |    | 6530409  |
| 457 | 2022/02/11 | 5  | 9  | 17 | 27 | 29 | 34 | 36 |    |    |    | 6537102  |
| 457 | 2022/02/11 | 5  | 17 | 19 | 20 | 21 | 26 | 35 |    |    |    | 6879291  |
| 457 | 2022/02/11 | 7  | 9  | 16 | 17 | 25 | 27 | 31 |    |    | 6  | 7857467  |
| 457 | 2022/02/11 | 7  | 9  | 16 | 21 | 22 | 31 | 34 |    |    |    | 7860290  |
| 457 | 2022/02/11 | 7  | 14 | 19 | 27 | 31 | 35 | 36 | 9  | 33 | I  | 8149925  |
| 457 | 2022/02/11 | 8  | 14 | 16 | 17 | 22 | 26 | 36 |    |    |    | 8608040  |
| 457 | 2022/02/11 | 9  | 10 | 17 | 21 | 32 | 33 | 36 |    |    |    | 8798081  |
| 457 | 2022/02/11 | 9  | 11 | 17 | 21 | 26 | 34 | 37 |    |    |    | 8863710  |
| 457 | 2022/02/11 | 10 | 16 | 20 | 25 | 28 | 29 | 30 |    |    |    | 9346376  |
| 456 | 2022/02/04 | 1  | 3  | 11 | 17 | 25 | 32 | 33 |    |    |    | 532029   |
| 456 | 2022/02/04 | 2  | 5  | 10 | 14 | 15 | 21 | 24 |    |    |    | 2573502  |
| 456 | 2022/02/04 | 5  | 6  | 14 | 16 | 17 | 22 | 28 |    |    |    | 6152447  |
| 456 | 2022/02/04 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 456 | 2022/02/04 | 6  | 8  | 12 | 27 | 31 | 34 | 36 |    |    |    | 7137513  |
| 456 | 2022/02/04 | 7  | 9  | 13 | 16 | 20 | 35 | 37 |    |    |    | 7833762  |
| 456 | 2022/02/04 | 9  | 15 | 17 | 18 | 22 | 25 | 31 | 33 | 36 | F  | 9016912  |
| 456 | 2022/02/04 | 18 | 19 | 22 | 23 | 28 | 29 | 30 |    |    |    | 10222397 |
| 455 | 2022/01/28 | 1  | 5  | 8  | 15 | 18 | 26 | 36 | 33 | 34 | B  | 914505   |
| 455 | 2022/01/28 | 1  | 7  | 16 | 23 | 30 | 33 | 35 |    |    |    | 1332624  |
| 455 | 2022/01/28 | 1  | 10 | 11 | 19 | 21 | 32 | 37 |    |    |    | 1582372  |
| 455 | 2022/01/28 | 2  | 9  | 14 | 22 | 26 | 29 | 35 |    |    |    | 3159003  |
| 455 | 2022/01/28 | 3  | 4  | 6  | 16 | 24 | 30 | 36 |    |    |    | 3632084  |
| 455 | 2022/01/28 | 4  | 8  | 12 | 13 | 14 | 22 | 26 |    |    |    | 5482761  |
| 455 | 2022/01/28 | 4  | 10 | 12 | 13 | 19 | 30 | 32 |    |    |    | 5662816  |
| 455 | 2022/01/28 | 5  | 6  | 19 | 25 | 27 | 34 | 37 |    |    |    | 6184149  |
| 455 | 2022/01/28 | 5  | 8  | 12 | 17 | 25 | 28 | 34 |    |    |    | 6396362  |
| 455 | 2022/01/28 | 5  | 8  | 13 | 17 | 24 | 33 | 34 |    |    |    | 6406952  |
| 455 | 2022/01/28 | 7  | 13 | 15 | 20 | 23 | 27 | 33 |    |    |    | 8095949  |
| 455 | 2022/01/28 | 9  | 11 | 15 | 20 | 21 | 29 | 31 |    |    |    | 8851894  |
| 455 | 2022/01/28 | 10 | 17 | 18 | 24 | 28 | 32 | 36 |    |    |    | 9356244  |
| 455 | 2022/01/28 | 10 | 17 | 24 | 31 | 33 | 34 | 37 |    |    |    | 9367373  |
| 455 | 2022/01/28 | 11 | 19 | 20 | 23 | 25 | 26 | 33 |    |    |    | 9611640  |
