select z1-z1%10000,z1-z1%10000+10000,count(z1-z1%10000) from loto7 group by (z1-z1%10000);
+-------------+-------------------+--------------------+
| z1-z1%10000 | z1-z1%10000+10000 | count(z1-z1%10000) |
+-------------+-------------------+--------------------+
| 10000       | 20000             | 1                  |
| 80000       | 90000             | 2                  |
| 110000      | 120000            | 1                  |
| 120000      | 130000            | 1                  |
| 130000      | 140000            | 1                  |
| 140000      | 150000            | 1                  |
| 150000      | 160000            | 1                  |
| 180000      | 190000            | 1                  |
| 200000      | 210000            | 1                  |
| 210000      | 220000            | 1                  |
| 220000      | 230000            | 1                  |
| 240000      | 250000            | 1                  |
| 250000      | 260000            | 1                  |
| 290000      | 300000            | 1                  |
| 300000      | 310000            | 2                  |
| 310000      | 320000            | 1                  |
| 320000      | 330000            | 1                  |
| 330000      | 340000            | 1                  |
| 370000      | 380000            | 3                  |
| 380000      | 390000            | 1                  |
| 410000      | 420000            | 1                  |
| 460000      | 470000            | 1                  |
| 470000      | 480000            | 1                  |
| 510000      | 520000            | 1                  |
| 530000      | 540000            | 2                  |
| 550000      | 560000            | 1                  |
| 570000      | 580000            | 1                  |
| 610000      | 620000            | 1                  |
| 660000      | 670000            | 1                  |
| 720000      | 730000            | 1                  |
| 740000      | 750000            | 1                  |
| 760000      | 770000            | 1                  |
| 780000      | 790000            | 1                  |
| 790000      | 800000            | 1                  |
| 810000      | 820000            | 1                  |
| 820000      | 830000            | 1                  |
| 870000      | 880000            | 1                  |
| 880000      | 890000            | 2                  |
| 920000      | 930000            | 2                  |
| 950000      | 960000            | 1                  |
| 960000      | 970000            | 1                  |
| 990000      | 1000000           | 1                  |
| 1040000     | 1050000           | 1                  |
| 1050000     | 1060000           | 1                  |
| 1070000     | 1080000           | 1                  |
| 1110000     | 1120000           | 1                  |
| 1130000     | 1140000           | 3                  |
| 1160000     | 1170000           | 1                  |
| 1230000     | 1240000           | 1                  |
| 1240000     | 1250000           | 2                  |
| 1250000     | 1260000           | 1                  |
| 1300000     | 1310000           | 1                  |
| 1360000     | 1370000           | 1                  |
| 1370000     | 1380000           | 1                  |
| 1400000     | 1410000           | 1                  |
| 1420000     | 1430000           | 1                  |
| 1490000     | 1500000           | 1                  |
| 1520000     | 1530000           | 1                  |
| 1530000     | 1540000           | 1                  |
| 1540000     | 1550000           | 1                  |
| 1550000     | 1560000           | 1                  |
| 1560000     | 1570000           | 1                  |
| 1570000     | 1580000           | 1                  |
| 1580000     | 1590000           | 1                  |
| 1650000     | 1660000           | 1                  |
| 1700000     | 1710000           | 1                  |
| 1710000     | 1720000           | 2                  |
| 1730000     | 1740000           | 1                  |
| 1860000     | 1870000           | 2                  |
| 1870000     | 1880000           | 1                  |
| 1990000     | 2000000           | 1                  |
| 2000000     | 2010000           | 1                  |
| 2020000     | 2030000           | 1                  |
| 2060000     | 2070000           | 1                  |
| 2090000     | 2100000           | 1                  |
| 2120000     | 2130000           | 1                  |
| 2140000     | 2150000           | 1                  |
| 2150000     | 2160000           | 1                  |
| 2200000     | 2210000           | 2                  |
| 2270000     | 2280000           | 1                  |
| 2290000     | 2300000           | 2                  |
| 2300000     | 2310000           | 1                  |
